球隊名稱,星期,時間,球館,地址,強度,場地數,收費(男),收費(女),用球,最後更新日期,備註
智勝,四,1830-2030,永和羽球館,428台中市大雅區永和路117-15號,,,,,,,
瘋羽無阻,四,1830-2030,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
羽鋒,四,1900-2100,佛雷斯羽球館,427台中市潭子區大豐路三段260號,,,,,,,
大龍,四,1900-2130,大道國中,432台中市大肚區仁德路60號,,,,,,,
掉漆,四,1900-2130,霧峰健體中心,412台中市霧峰區成功路200號,,,,,,,
豐原羽球殺殺團,四,1930-2200,豐東羽球館,,1-3,2,190,140,,2020/7/2,
羽球PaPa趴,四,1900-2200,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
豪帥,四,1900-2200,帥宏羽球館,429台中市神岡區大洲路123巷123之1號,,,,,,,
台客羽球隊,四,1930-2200,黎明羽球館,408台中市南屯區黎明路二段658號,,,,,,,
蓋強,四,1930-2200,蓋強潭子館,427台中市潭子區民族路一段368號,,,,,,,
三豪,四,2000-2200,樂活羽球館,435台中市梧棲區中央路一段536-2號,,,,,,,
山水鳥,四,2000-2200,大都會福華館,407台中市西屯區福順路65號,,,,,,,
日新,四,2000-2200,鴻毅國際羽球館,412台中市大里區工業九路128號,,,,,,,
台同,四,2000-2200,民昇羽球二館,402台中市南區美村南路178號,,,,,,,
羽你有約,四,2000-2200,朝馬國民運動中心,407台中市西屯區朝貴路199號,,,,,,,
羽線魔手,四,2000-2200,普那羽球館,406台中市北屯區山西路三段177號,,,,,,,
佳青,四,2000-2200,佳青羽球館,402台中市南區福田三街302號,,,,,,,
幸福美滿,四,2000-2200,磐石羽球運動會館,412台中市大里區中山路330號,,,,,,,
洪揚,四,2000-2200,中信羽球館,406台中市北屯區河北一街139號,,,,,,,
氣羽軒昂,四,2000-2200,大都會福華館,407台中市西屯區福順路65號,,,,,,,
朝陽科大EMBA,四,2000-2200,中科活力羽球館,407台中市西屯區中科路1719號,,,,,,,
新手村羽球隊,四,2000-2200,豐東羽球館,420豐原區豐東路576號,,,,,,,
榔頭,四,2000-2200,大墩羽球館,408台中市南屯區大墩十二街1000號,,,,,,,
對對隊,四,2000-2200,大智羽球館,401台中市東區大振街33號,,,,,,,
獵人,四,2000-2200,六氧羽球館,433台中市沙鹿區北中七街39號,,,,,,,
霹靂無敵好聽,四,2000-2200,佳青羽球館,402台中市南區福田三街302號,,,,,,,
吃吃喝喝,四,2000-2230,順豐羽球館,428台中市大雅區中山五路21號,,,,,,,
勝豐,四,2000-2230,羽晨羽球館,411台中市太平區永成北路286號,,,,,,,
火車頭,四,2000-2300,忠興羽球館,406台中市北屯區景賢南一路57號,,,,,,,
必勝客,四,2000-2300,永翔羽球館,407台中市西屯區漢翔北街37-1號,,,,,,,
羽眾不同,四,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
松羿,四,2000-2300,東原羽球場,406台中市北屯區東光路724巷1-69號,,,,,,,
紅葉,四,2000-2300,洲際羽球館,427台中市潭子區崇德路五段435號,,,220,200,,2020/7/2,
高功初中,四,2000-2400,台體,404台中市北區雙十路一段16號,,,,,,,
大翔,四,2030-2230,大翔羽球館,402台中市南區五權南路737-1號,,3,200,200,,2020/7/2,"月繳四週 $620 元、五週 $780 元
 在球隊打滿十次後(半年內)可加入群組"
小嫩咖羽球隊,四,2030-2230,大翔羽球館,402台中市南區五權南路737-1號,,,,,,,
S.F.PARTY,四,2100-2300,洲際羽球館,427台中市潭子區崇德路五段435號,,,,,,,
羽球新手村,四,2100-2300,永安羽球館,406台中市北屯區后庄七街259號,,,,,,,
青海,四,2000-2400,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,4-5,,200,200,比賽級羽球,2020/7/2,
花漾,四,2130-2330,羽揚羽球館,407台中市西屯區福科路900巷19號之1號,,,,,,,
開心,四,9030-1130,福慧羽球館,411台中市太平區中山路二段541巷33-1號,,,,,,,
